ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_T,AGE_YTHADULT_YGE15,2021,86.4,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_T,AGE_YTHADULT_Y15-24,2021,90.1,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_T,AGE_YTHADULT_YGE25,2021,85.1,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_M,AGE_YTHADULT_YGE15,2021,83,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_M,AGE_YTHADULT_Y15-24,2021,87.1,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_M,AGE_YTHADULT_YGE25,2021,81.7,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_F,AGE_YTHADULT_YGE15,2021,97.3,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_F,AGE_YTHADULT_Y15-24,2021,98.6,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_F,AGE_YTHADULT_YGE25,2021,96.8,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_T,AGE_AGGREGATE_TOTAL,2021,86.4,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_T,AGE_AGGREGATE_Y15-24,2021,90.1,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_T,AGE_AGGREGATE_Y25-54,2021,84.3,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_T,AGE_AGGREGATE_Y55-64,2021,89.7,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_T,AGE_AGGREGATE_YGE65,2021,92.6,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_M,AGE_AGGREGATE_TOTAL,2021,83,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_M,AGE_AGGREGATE_Y15-24,2021,87.1,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_M,AGE_AGGREGATE_Y25-54,2021,80.5,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_M,AGE_AGGREGATE_Y55-64,2021,88.2,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_M,AGE_AGGREGATE_YGE65,2021,92.8,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_F,AGE_AGGREGATE_TOTAL,2021,97.3,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_F,AGE_AGGREGATE_Y15-24,2021,98.6,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_F,AGE_AGGREGATE_Y25-54,2021,97.1,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_F,AGE_AGGREGATE_Y55-64,2021,94.8,,,,R1:3513_S3:8
AFG,EMP_NIFL_SEX_AGE_RT,BA:15715,SEX_F,AGE_AGGREGATE_YGE65,2021,91.6,,,,R1:3513_S3:8
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_YGE15,2004,79.2,B,,I11:264,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_Y15-24,2004,88.9,B,,I11:264,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_YGE25,2004,77.2,B,,I11:264,R1:3513
